step,class_prediction_ratio,frac_zero_std
1,0.71875,0.0
2,0.9375,0.0
3,0.78125,0.0
4,0.75,0.0
5,0.65625,0.0
6,0.8125,0.0
7,0.8125,0.0
8,0.5625,1.0
9,1.0,0.0
10,0.75,0.0
11,0.90625,1.0
12,0.71875,1.0
13,0.3125,1.0
14,0.46875,1.0
15,0.625,1.0
16,0.75,1.0
17,0.4375,1.0
18,0.75,0.0
19,0.75,0.0
20,0.875,0.0
21,0.78125,1.0
22,0.5625,1.0
23,0.875,0.0
24,0.53125,0.0
25,0.6875,1.0
26,0.625,0.0
27,0.59375,0.0
28,0.78125,0.0
29,0.5625,0.0
30,0.75,1.0
31,0.875,0.0
32,0.78125,0.0
33,0.625,0.0
34,0.84375,0.0
35,0.78125,1.0
36,0.46875,1.0
37,0.875,0.0
38,0.875,0.0
39,0.84375,0.0
40,0.875,0.0
41,0.78125,0.0
42,0.6875,0.0
43,0.75,0.0
44,0.75,0.0
45,0.8125,0.0
46,0.71875,1.0
47,0.875,0.0
48,0.9375,0.0
49,0.53125,0.0
50,0.84375,0.0
51,0.8125,0.0
52,0.78125,0.0
53,0.53125,0.0
54,0.40625,1.0
55,0.40625,1.0
56,0.84375,0.0
57,0.9375,0.0
58,0.6875,0.0
59,0.75,0.0
60,0.78125,0.0
61,0.71875,0.0
62,0.59375,0.0
63,0.78125,0.0
64,0.71875,0.0
65,0.78125,0.0
66,0.4375,1.0
67,0.78125,0.0
68,0.75,1.0
69,1.0,0.0
70,1.0,0.0
71,0.5,1.0
72,0.6875,0.0
73,0.4375,0.0
74,0.84375,0.0
75,0.78125,1.0
76,0.625,0.0
77,0.90625,0.0
78,0.75,1.0
79,0.6875,1.0
80,0.78125,0.0
81,0.8125,0.0
82,0.4375,1.0
83,0.5625,0.0
84,0.75,0.0
85,0.6875,1.0
86,0.65625,0.0
87,0.78125,1.0
88,0.75,0.0
89,0.5625,1.0
90,0.8125,0.0
91,0.9375,0.0
92,0.53125,0.0
93,0.8125,0.0
94,0.59375,0.0
95,0.71875,0.0
96,0.71875,1.0
97,0.625,0.0
98,0.5625,1.0
99,0.53125,1.0
100,0.84375,0.0
101,0.5,0.0
102,0.71875,0.0
103,0.28125,1.0
104,0.8125,0.0
105,0.625,1.0
106,0.65625,1.0
107,0.96875,0.0
108,0.59375,0.0
109,0.46875,1.0
110,0.71875,0.0
111,0.71875,1.0
112,0.8125,0.0
113,0.6875,1.0
114,0.8125,1.0
115,1.0,0.0
116,0.5625,1.0
117,0.4375,0.0
118,0.5,0.0
119,0.9375,0.0
120,0.65625,0.0
121,0.84375,1.0
122,0.40625,0.0
123,0.84375,0.0
124,0.5625,1.0
125,0.59375,0.0
126,0.46875,1.0
127,0.8125,0.0
128,0.90625,1.0
129,0.53125,1.0
130,0.71875,0.0
131,0.8125,0.0
132,0.78125,0.0
133,0.59375,0.0
134,0.8125,0.0
135,0.65625,0.0
136,0.625,1.0
137,0.5625,1.0
138,1.0,1.0
139,0.90625,0.0
140,0.71875,0.0
141,0.53125,1.0
142,0.78125,1.0
143,0.78125,0.0
144,0.8125,0.0
145,0.84375,0.0
146,0.6875,1.0
147,0.90625,0.0
148,0.53125,1.0
149,0.75,1.0
150,0.90625,0.0
151,0.59375,0.0
152,0.875,0.0
153,0.65625,1.0
154,0.84375,0.0
155,0.71875,1.0
156,0.65625,0.0
157,0.96875,0.0
158,0.8125,0.0
159,0.5,0.0
160,0.75,0.0
161,0.875,0.0
162,0.8125,1.0
163,0.6875,0.0
164,0.875,0.0
165,0.71875,1.0
166,0.71875,0.0
167,0.65625,1.0
168,0.78125,0.0
169,0.5625,0.0
170,0.78125,1.0
171,0.875,0.0
172,0.78125,1.0
173,0.71875,0.0
174,0.53125,0.0
175,0.65625,1.0
176,0.71875,1.0
177,0.84375,1.0
178,0.5,1.0
179,0.625,0.0
180,0.59375,1.0
181,0.84375,0.0
182,0.78125,0.0
183,0.53125,1.0
184,0.5625,0.0
185,0.75,1.0
186,0.59375,0.0
187,0.71875,1.0
188,0.5,1.0
189,0.75,0.0
190,0.5,0.0
191,0.96875,0.0
192,0.9375,0.0
193,0.6875,1.0
194,0.9375,1.0
195,0.78125,0.0
196,0.6875,0.0
197,0.78125,0.0
198,0.75,0.0
199,0.53125,1.0
200,0.78125,0.0
200,0.78125,0.0
